DATE	#Cases
03/01/05	168
10/01/05	157
17/01/05	96
24/01/05	163
31/01/05	122
07/02/05	174
14/02/05	153
21/02/05	115
28/02/05	119
07/03/05	114
14/03/05	127
21/03/05	135
28/03/05	116
04/04/05	132
11/04/05	129
18/04/05	113
25/04/05	114
02/05/05	98
09/05/05	140
16/05/05	120
23/05/05	173
30/05/05	135
06/06/05	143
13/06/05	139
20/06/05	155
27/06/05	98
04/07/05	87
11/07/05	110
18/07/05	70
25/07/05	43
01/08/05	37
08/08/05	30
15/08/05	21
22/08/05	22
29/08/05	15
05/09/05	11
12/09/05	7
19/09/05	12
26/09/05	5
03/10/05	17
10/10/05	11
17/10/05	27
24/10/05	23
31/10/05	30
07/11/05	48
14/11/05	37
21/11/05	32
28/11/05	49
05/12/05	67
12/12/05	106
19/12/05	83
26/12/05	114
02/01/06	129
09/01/06	189
16/01/06	79
23/01/06	163
30/01/06	110
06/02/06	158
13/02/06	182
20/02/06	136
27/02/06	207
06/03/06	251
13/03/06	141
20/03/06	193
27/03/06	169
03/04/06	141
10/04/06	193
17/04/06	359
24/04/06	268
01/05/06	168
08/05/06	338
15/05/06	186
22/05/06	266
29/05/06	240
05/06/06	162
12/06/06	264
19/06/06	133
26/06/06	201
03/07/06	236
10/07/06	111
17/07/06	76
24/07/06	52
31/07/06	30
07/08/06	30
14/08/06	74
21/08/06	45
28/08/06	41
04/09/06	20
11/09/06	15
18/09/06	11
25/09/06	10
02/10/06	9
09/10/06	35
16/10/06	20
23/10/06	19
30/10/06	51
06/11/06	53
13/11/06	77
20/11/06	62
27/11/06	93
04/12/06	78
11/12/06	82
18/12/06	84
25/12/06	58
01/01/07	114
08/01/07	145
15/01/07	93
22/01/07	129
29/01/07	114
05/02/07	86
12/02/07	127
19/02/07	106
26/02/07	211
05/03/07	229
12/03/07	145
19/03/07	210
26/03/07	267
02/04/07	166
09/04/07	168
16/04/07	350
23/04/07	224
30/04/07	136
07/05/07	278
14/05/07	161
21/05/07	385
28/05/07	230
04/06/07	284
11/06/07	210
18/06/07	125
25/06/07	104
02/07/07	140
09/07/07	99
16/07/07	35
23/07/07	14
30/07/07	34
06/08/07	7
13/08/07	7
20/08/07	4
27/08/07	4
03/09/07	10
10/09/07	6
17/09/07	6
24/09/07	12
01/10/07	20
08/10/07	14
15/10/07	33
22/10/07	20
29/10/07	25
05/11/07	93
12/11/07	72
19/11/07	54
26/11/07	175
03/12/07	126
10/12/07	60
17/12/07	193
24/12/07	68
31/12/07	183
07/01/08	156
14/01/08	479
21/01/08	143
28/01/08	193
04/02/08	105
11/02/08	136
18/02/08	91
25/02/08	150
03/03/08	82
10/03/08	64
17/03/08	100
24/03/08	95
31/03/08	136
07/04/08	80
14/04/08	122
21/04/08	117
28/04/08	84
05/05/08	133
12/05/08	62
19/05/08	211
26/05/08	143
02/06/08	128
09/06/08	105
16/06/08	140
23/06/08	51
30/06/08	70
07/07/08	46
14/07/08	17
21/07/08	21
28/07/08	51
04/08/08	22
11/08/08	11
18/08/08	3
25/08/08	10
01/09/08	4
08/09/08	3
15/09/08	9
22/09/08	14
29/09/08	12
06/10/08	22
13/10/08	43
20/10/08	27
27/10/08	67
03/11/08	78
10/11/08	61
17/11/08	62
24/11/08	40
01/12/08	98
08/12/08	110
15/12/08	142
22/12/08	53
29/12/08	39
05/01/09	304
12/01/09	300
19/01/09	115
26/01/09	176
02/02/09	176
09/02/09	157
16/02/09	188
23/02/09	128
02/03/09	165
09/03/09	129
16/03/09	197
23/03/09	129
30/03/09	217
06/04/09	109
13/04/09	212
20/04/09	265
27/04/09	149
04/05/09	143
11/05/09	165
18/05/09	198
25/05/09	197
01/06/09	211
08/06/09	177
15/06/09	168
22/06/09	110
29/06/09	65
06/07/09	104
13/07/09	85
20/07/09	54
27/07/09	18
03/08/09	16
10/08/09	14
17/08/09	7
24/08/09	27
31/08/09	16
07/09/09	11
14/09/09	2
21/09/09	4
28/09/09	7
05/10/09	15
12/10/09	30
19/10/09	31
26/10/09	25
02/11/09	50
09/11/09	37
16/11/09	59
23/11/09	58
30/11/09	42
07/12/09	91
14/12/09	86
21/12/09	41
28/12/09	47
04/01/10	166
11/01/10	113
18/01/10	62
25/01/10	82
01/02/10	56
08/02/10	46
15/02/10	48
22/02/10	124
01/03/10	74
08/03/10	116
15/03/10	120
22/03/10	101
29/03/10	121
05/04/10	160
12/04/10	199
19/04/10	147
26/04/10	130
03/05/10	175
10/05/10	156
17/05/10	185
24/05/10	123
31/05/10	151
07/06/10	150
14/06/10	169
21/06/10	154
28/06/10	68
05/07/10	93
12/07/10	74
19/07/10	56
26/07/10	35
02/08/10	24
09/08/10	11
16/08/10	35
23/08/10	11
30/08/10	22
06/09/10	8
13/09/10	5
20/09/10	23
27/09/10	27
04/10/10	33
11/10/10	74
18/10/10	57
25/10/10	95
01/11/10	73
08/11/10	171
15/11/10	206
22/11/10	144
29/11/10	155
06/12/10	191
13/12/10	125
20/12/10	157
27/12/10	121
03/01/11	59
10/01/11	333
17/01/11	145
24/01/11	208
31/01/11	174
07/02/11	128
14/02/11	190
21/02/11	228
28/02/11	149
07/03/11	181
14/03/11	131
21/03/11	227
28/03/11	158
04/04/11	168
11/04/11	181
18/04/11	138
25/04/11	129
02/05/11	161
09/05/11	121
16/05/11	128
23/05/11	150
30/05/11	146
06/06/11	115
13/06/11	120
20/06/11	140
27/06/11	73
04/07/11	91
11/07/11	71
18/07/11	61
25/07/11	19
01/08/11	16
08/08/11	11
15/08/11	17
22/08/11	14
29/08/11	13
05/09/11	22
12/09/11	42
19/09/11	4
26/09/11	18
03/10/11	6
10/10/11	10
17/10/11	60
24/10/11	103
31/10/11	31
07/11/11	103
14/11/11	44
21/11/11	91
28/11/11	83
05/12/11	111
12/12/11	91
19/12/11	163
26/12/11	28
02/01/12	106
09/01/12	291
16/01/12	185
23/01/12	197
30/01/12	147
06/02/12	192
13/02/12	190
20/02/12	147
27/02/12	131
05/03/12	149
12/03/12	99
19/03/12	233
26/03/12	146
02/04/12	182
09/04/12	68
16/04/12	180
23/04/12	142
30/04/12	80
07/05/12	194
14/05/12	286
21/05/12	129
28/05/12	93
04/06/12	199
11/06/12	120
18/06/12	151
25/06/12	88
02/07/12	87
09/07/12	67
16/07/12	52
23/07/12	65
30/07/12	6
06/08/12	64
13/08/12	18
20/08/12	3
27/08/12	0
03/09/12	13
10/09/12	9
17/09/12	4
24/09/12	8
01/10/12	12
08/10/12	13
15/10/12	31
22/10/12	35
29/10/12	8
05/11/12	73
12/11/12	77
19/11/12	21
26/11/12	104
03/12/12	105
10/12/12	92
17/12/12	192
24/12/12	2
31/12/12	67
07/01/13	283
14/01/13	135
21/01/13	129
28/01/13	203
04/02/13	152
11/02/13	107
18/02/13	185
25/02/13	110
04/03/13	138
11/03/13	100
18/03/13	228
25/03/13	130
01/04/13	137
08/04/13	235
15/04/13	138
22/04/13	166
29/04/13	122
06/05/13	149
13/05/13	124
20/05/13	187
27/05/13	195
03/06/13	130
10/06/13	126
17/06/13	154
24/06/13	149
01/07/13	106
08/07/13	151
15/07/13	100
22/07/13	91
29/07/13	46
05/08/13	38
12/08/13	13
19/08/13	22
26/08/13	33
02/09/13	9
09/09/13	14
16/09/13	48
23/09/13	7
30/09/13	18
07/10/13	6
14/10/13	21
21/10/13	30
28/10/13	21
04/11/13	79
11/11/13	64
18/11/13	55
25/11/13	18
02/12/13	101
09/12/13	63
16/12/13	59
23/12/13	6
30/12/13	26
06/01/14	150
13/01/14	80
20/01/14	82
27/01/14	58
03/02/14	84
10/02/14	59
17/02/14	60
24/02/14	116
03/03/14	99
10/03/14	112
17/03/14	197
24/03/14	116
31/03/14	215
07/04/14	82
14/04/14	155
21/04/14	80
28/04/14	13
05/05/14	70
12/05/14	391
19/05/14	178
26/05/14	124
02/06/14	235
09/06/14	88
16/06/14	187
23/06/14	140
30/06/14	111
07/07/14	72
14/07/14	75
21/07/14	44
28/07/14	40
04/08/14	37
11/08/14	10
18/08/14	6
25/08/14	7
01/09/14	5
08/09/14	10
15/09/14	11
22/09/14	16
29/09/14	20
06/10/14	17
13/10/14	21
20/10/14	34
27/10/14	28
03/11/14	44
10/11/14	33
17/11/14	85
24/11/14	16
01/12/14	95
08/12/14	43
15/12/14	35
22/12/14	30
29/12/14	259
